City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Salinopolis,BR,-0.61,-47.36,85.33,66,48,15.46,scattered clouds
138,Khor,RU,47.89,134.95,38.77,73,80,7.76,broken clouds
139,Launceston,AU,-41.45,147.17,50.0,87,90,8.05,overcast clouds
140,Gizo,SB,-8.1,156.84,82.53,74,66,5.28,light rain
141,Peruibe,BR,-24.32,-47.0,78.35,72,22,4.76,few clouds
142,Praia Da Vitoria,PT,38.73,-27.07,64.4,72,40,27.34,scattered clouds
143,Mount Vernon,US,40.91,-73.84,69.01,77,90,5.82,overcast clouds
144,Kruisfontein,ZA,-34.0,24.73,60.01,77,0,1.01,clear sky
145,Klaksvik,FO,62.23,-6.59,39.2,86,41,12.75,scattered clouds
146,Touros,BR,-5.2,-35.46,84.2,58,40,16.11,scattered clouds
147,Uruzgan,AF,32.83,66.0,39.18,69,0,0.87,clear sky
148,That Phanom,TH,16.94,104.71,73.4,83,75,3.36,broken clouds
149,Guerrero Negro,MX,27.98,-114.06,79.77,56,0,10.49,clear sky
150,Brigantine,US,39.41,-74.36,68.0,88,90,5.68,overcast clouds
151,Tasiilaq,GL,65.61,-37.64,32.0,93,75,20.8,broken clouds
152,Severo-Kurilsk,RU,50.68,156.12,40.17,71,36,25.5,scattered clouds
153,Mahibadhoo,MV,3.78,72.97,82.87,79,100,11.7,overcast clouds
154,Vostok,RU,46.49,135.88,32.38,91,24,5.28,few clouds
155,Ciudad Bolivar,VE,8.12,-63.55,94.28,44,55,6.91,broken clouds
156,Ranong,TH,9.97,98.63,78.21,83,20,0.81,few clouds
157,Mareeba,AU,-17.0,145.43,69.8,94,24,2.66,few clouds
158,Okhotsk,RU,59.38,143.3,24.46,81,86,11.9,overcast clouds
159,Hualmay,PE,-11.1,-77.61,69.35,65,4,9.13,clear sky
160,Saint-Philippe,RE,-21.36,55.77,73.4,73,20,5.82,few clouds
161,Norman Wells,CA,65.28,-126.83,19.4,85,75,10.29,light snow
162,Opuwo,NA,-18.06,13.84,77.95,20,8,10.51,clear sky
163,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
164,Ihosy,MG,-22.4,46.12,68.27,77,0,9.37,clear sky
165,Fort Saint James,CA,54.43,-124.25,34.48,87,32,2.17,scattered clouds
166,Trairi,BR,-3.28,-39.27,84.74,59,47,17.69,scattered clouds
167,Sambava,MG,-14.27,50.17,76.23,79,83,16.37,broken clouds
168,Bursa,TR,40.17,29.08,59.0,87,75,2.24,broken clouds
169,Hamilton,US,39.18,-84.53,53.6,93,90,4.7,overcast clouds
170,Ouango,CF,4.31,22.56,75.33,82,76,0.94,light rain
171,Moranbah,AU,-22.0,148.05,67.69,81,0,6.04,clear sky
172,Amahai,ID,-3.33,128.92,82.99,87,93,1.41,overcast clouds
173,Leh,IN,34.17,77.58,37.94,47,0,1.95,clear sky
174,Ahipara,NZ,-35.17,173.17,56.84,80,98,5.32,overcast clouds
175,Porto Novo,BJ,6.5,2.6,82.4,78,40,13.87,scattered clouds
176,Kyren,RU,51.68,102.14,28.47,80,69,0.4,broken clouds
177,Bonthe,SL,7.53,-12.51,80.55,79,86,9.64,overcast clouds
178,Ola,RU,59.58,151.28,27.91,85,28,7.11,scattered clouds
179,Santa Fe,AR,-31.63,-60.7,58.87,88,100,15.93,light rain
180,Skowhegan,US,44.77,-69.72,55.99,93,100,3.0,overcast clouds
181,Athabasca,CA,54.72,-113.29,27.66,88,14,5.39,few clouds
182,Sitka,US,57.05,-135.33,39.2,93,20,4.7,few clouds
183,Mitu,CO,1.2,-70.17,92.71,46,71,3.38,broken clouds
184,Suamico,US,44.63,-88.04,45.0,60,75,10.29,broken clouds
185,Phan Thiet,VN,10.93,108.1,77.2,87,81,3.96,light rain
186,Geraldton,AU,-28.77,114.6,64.4,77,90,14.99,overcast clouds
187,Wagar,SD,16.15,36.2,87.39,25,0,19.26,clear sky
188,Port Blair,IN,11.67,92.75,81.45,84,37,13.35,scattered clouds
189,Puerto Escondido,MX,15.85,-97.07,84.2,70,5,4.7,clear sky
190,Gazojak,TM,41.19,61.4,59.13,27,0,7.09,clear sky
191,Arvika,SE,59.66,12.59,46.4,100,100,11.41,moderate rain
192,Surin,TH,14.88,103.49,75.99,85,99,10.87,overcast clouds
193,Vardo,NO,70.37,31.11,37.4,86,75,16.11,broken clouds
194,Samarai,PG,-10.62,150.67,78.62,85,63,8.46,broken clouds
195,Picota,PE,-6.92,-76.33,75.2,100,90,4.7,light rain
196,Ostersund,SE,63.18,14.64,30.2,100,90,11.41,light snow
197,Matara,LK,5.95,80.54,78.33,87,7,9.98,light rain
198,Caxito,AO,-8.58,13.66,77.0,78,40,10.29,scattered clouds
199,Los Llanos De Aridane,ES,28.66,-17.92,78.8,65,40,13.87,scattered clouds
